user_id,book_id,book_title,rating
1,9780786942701,Night of the Long Shadows,5.0
1,9780060851989,Queen of Babble,2.5
1,9780307337931,"Small Bites, Big Nights",3.0
1,9780061208492,The Complete C. S. Lewis Signature Classics,3.5
1,9780586040102,Banco,4.5
1,9780670913527,Artemis Fowl,5.0
1,9781402732980,Off to Sea,3.5
1,9780192802644,Mansfield Park,4.0
1,9780312940683,A Sparrow Falls,3.5
1,9780140445503,Gargantua and Pantagruel,5.0
1,9780312874568,Tales of the Dying Earth,4.5
1,9780345458940,Body Double,4.5
1,9780451210555,No Second Chance,4.0
1,9781931082549,Democracy in America,3.5
1,9780099498582,Dublin 4,2.0
1,9780753809259,The White Hotel,4.0
1,9780142407929,The BFG,3.0
1,9781579126247,The A.B.C. Murders,3.0
1,9780330484770,American Psycho,5.0
1,9780064405447,Betsy's Wedding,2.0
1,9780141318301,The Twits,3.5
1,9780575075597,Replay,4.5
1,9780064472777,All-American Girl,5.0
1,9781581348095,Suffering and the Sovereignty of God,4.5
1,9780375704437,For the relief of unbearable urges,4.0
1,9780099422341,Yeats is Dead!,3.5
1,9780064407311,Monster,2.0
1,9780743428958,Last Man Standing,4.0
1,9780963188922,Pyramids of Montauk,3.0
1,9780451188458,The Bone Collector,5.0
1,9781579510022,The Illuminati Papers,4.5
1,9780810935204,Lewis Carroll's Jabberwocky,5.0
1,9781564775009,Happy Endings,2.5
1,9780067575208,The Sense of Wonder,1.5
1,9780061030659,U.S.S. Seawolf,5.0
1,9780872200562,Introduction to The Philosophy of History,4.0
1,9780764585685,CliffsComplete Hamlet,4.0
1,9780312853020,"The Demon Princes, Vol. 1",5.0
1,9780448444826,Who Was Anne Frank?,4.0
1,9780767911795,Conspiracy of Fools,3.5
1,9780791081266,Edith Wharton's The Age of Innocence,2.0
1,9780851513348,Discovering God's Will,4.0
1,9781600961502,The Lost Continent,3.5
2,9780330481915,Blackout,5.0
2,9780060245603,Today I Feel Silly & Other Moods That Make My Day,4.5
2,9780679727224,The Defense,2.5
2,9780743464796,Pendulum,3.0
2,9780375727276,Lunar Park,4.5
2,9780099910107,A Farewell to Arms,3.0
2,9780195069051,Albion's Seed,4.5
2,9780743296168,The Good House,3.0
2,9780961392178,Beautiful Evidence,3.0
2,9780865165465,The Evolution of the Gilgamesh Epic,5.0
2,9780312295431,Education As My Agenda,5.0
2,9781595329141,Dragon Head,4.0
2,9780449001158,The Gift of Asher Lev,3.5
2,9780689823824,A Child's Garden of Verses,5.0
2,9780393061635,The Making of the Fittest,4.0
2,9780345396556,Ilse Witch,4.0
2,9781841492704,Unto Leviathan,3.5
2,9780674995741,Fragmenta,4.0
2,9780312941468,Hot Stuff,5.0
2,9780674994805,Babrius and Phaedrus,4.5
2,9780738539560,Lake Orion,4.0
3,9780786712342,The Life of Sir Arthur Conan Doyle,3.0
3,9780345424624,Nightsword,2.5
3,9780938045557,The Naked Warrior,2.5
3,9780743499484,The Dead Yard,3.0
3,9780671021009,She's Come Undone,3.0
3,9780807014264,Man's Search for Meaning,3.5
3,9780143039938,The Book of Imaginary Beings,3.0
3,9780060734015,Bridge to Terabithia (rack),3.0
3,9780515139754,"Incubus Dreams: An Anita Blake, Vampire Hunter Novel",3.5
3,9780618711659,Extremely Loud and Incredibly Close,3.5
3,9780141311401,Boy,3.5
3,9780345461360,To The Last Man,3.5
3,9780465070596,Shattered Bonds,2.5
3,9780618131709,Chimera,3.5
3,9780385722438,Ella Minnow Pea,3.5
3,9780312266059,The Illustrated Story Of O,2.5
3,9780826415745,Anita Diamant's The Red Tent,4.0
3,9780439736466,"Where We Are, what We See",2.5
3,9780060554736,The Game,3.0
3,9780721601946,Robbins and Cotran Review of Pathology,3.0
3,9780375704253,Sons of Mississippi,4.0
3,9780671727796,The Color Purple,4.0
3,9780393927207,The Norton Anthology of English Literature,4.0
3,9781595324849,RG Veda,3.0
3,9780786647972,Deluxe Encyclopedia of Mandolin Chords,3.0
3,9780674995741,Fragmenta,2.5
3,9780140131673,East is East,3.0
4,9780099267546,Timequake,4.0
4,9780099474463,Lady of Quality,3.0
4,9781400034208,The Razor's Edge,3.0
4,9780316154970,The Harry Bosch Novels,2.5
4,9780439485876,The Seventh Tower,2.5
4,9780521437738,The Invention of Tradition,3.5
4,9780727861153,Desert Heat,3.5
4,9780974607894,First Love,3.5
4,9780312348649,Baby Proof,3.5
4,9780553581355,War of the Rats,3.0
4,9780006496434,The Little House,2.0
4,9780671021009,She's Come Undone,4.0
4,9780316017442,The Terror,3.5
4,9781842931851,Mysteries,3.0
4,9780099436744,The Gangs of New York,4.5
4,9780618056835,The Big Money,3.0
4,9780393040586,The Confident Child,4.0
4,9780345450395,Flinx's Folly,3.5
4,9780099284482,A Star Called Henry,3.5
4,9780061059476,Cat in the Dark,3.0
4,9780674990333,De officiis,2.5
4,9780061122095,By the River Piedra I Sat Down and Wept,3.0
4,9780553815023,The Sinner,2.5
4,9780767911795,Conspiracy of Fools,3.0
4,9780679723134,Invisible Man,3.0
4,9780785114154,New Mutants,3.5
4,9780064408585,Emily of Deep Valley,3.0
4,9780946061150,Leaving the 20th Century,2.5
4,9780805242164,Emma Lazarus,2.0
4,9781904316343,Judas Pig,3.5
4,9780099271499,Blood and Gold,3.0
5,9780385721875,The Age of Grief,4.5
5,9780395754900,The Riverside Shakespeare,3.5
5,9780375826894,Code Word Kangaroo,4.5
5,9780553817072,The Apprentice,5.0
5,9780439959049,Savage Stone Age Sticker Book,4.5
6,9781578569540,Dark Water,4.5
6,9780140296037,A Year in Provence,4.0
6,9780142002261,Word Freak,2.0
7,9780785263715,Searching for God Knows What,5.0
7,9780691119427,Shamanism,2.5
7,9781400065554,American Gospel,2.0
7,9780140449099,Don Quixote,4.5
7,9780439890281,This is Push,3.0
7,9781557830418,"The Adventures of Baron Munchausen, the Screenplay",3.5
7,9780385315173,A Day in the Life,2.5
7,9780385418492,How the Irish Saved Civilization,3.0
7,9781587150883,The Well at the World's End,5.0
7,9780964326194,The Eye of the I,4.0
7,9780374626235,The complete stories,2.0
7,9780553485172,Encyclopedia Brown and the Case of the Sleeping Dog,5.0
8,9780140154078,The Music of Chance,2.5
8,9781890995522,The Diamond Color Meditation,3.5
